userName,score,content,content_clean,at,thumbsUpCount,content_normalized,content_clean_final
Petrus Adi Wibowo,5,fufufa.......ini bagus,fufufa.......ini bagus,2025-10-16 00:46:47,0,fufufa.......ini bagus,fufufaini bagus
Min sekar Ayu,5,Bagus banget sangat sesuai dikit,bagus banget sangat sesuai dikit,2025-10-16 00:44:59,0,bagus banget sangat sesuai dikit,bagus banget sesuai dikit
tasmin tami,5,sangat bermanfaat bagi setiap orang yang ingin belajar,sangat bermanfaat bagi setiap orang yang ingin belajar,2025-10-16 00:44:32,0,sangat bermanfaat bagi setiap orang yang ingin belajar,bermanfaat orang belajar
ilyas iyas,5,keren chatgpt sangat membantu,keren chatgpt sangat membantu,2025-10-16 00:39:53,0,keren chatgpt sangat membantu,keren chatgpt membantu
Irdina Dina,5,agak lebih cepet dikit ya ini kelamaan,agak lebih cepet dikit ya ini kelamaan,2025-10-16 00:33:33,0,agak lebih cepet dikit ya ini kelamaan,cepet dikit
Naning Tuna,5,Saya sangat terbantu karena ada nya chatgpt semua tugas sya bisa selesai dengan baik dan benar,saya sangat terbantu karena ada nya chatgpt semua tugas sya bisa selesai dengan baik dan benar,2025-10-16 00:28:01,0,saya sangat terbantu karena ada nya chatgpt semua tugas sya bisa selesai dengan baik dan benar,terbantu nya chatgpt tugas sya selesai
Marnie Ajj,1,gabisa edit foto,gabisa edit foto,2025-10-16 00:04:39,0,gabisa edit foto,gabisa edit foto
ACHMAD ROIS,5,perfect,perfect,2025-10-15 23:45:25,0,perfect,perfect
Vian Ramadhan,3,respon lama,respon lama,2025-10-15 23:29:12,0,respon lama,respon
Haji Rizz,5,Hade bisa di ajak ngobrol Ngan teu bisa mere cara nyaho sandi wifi Batur ☕🗿,hade bisa di ajak ngobrol ngan teu bisa mere cara nyaho sandi wifi batur ☕🗿,2025-10-15 23:17:18,0,hade bisa di ajak ngobrol ngan teu bisa mere cara nyaho sandi wifi batur ☕🗿,hade ajak ngobrol ngan teu mere nyaho sandi wifi batur
Cucun,5,sangat bagus dan detail dlm memberi jawaban 👍👍🙏👍👍,sangat bagus dan detail dlm memberi jawaban 👍👍🙏👍👍,2025-10-15 22:55:29,0,sangat bagus dan detail dlm memberi jawaban 👍👍🙏👍👍,bagus detail dlm 👍👍🙏👍👍
Rika Janah,5,harus bisa disimpan,harus bisa disimpan,2025-10-15 22:35:36,0,harus bisa disimpan,disimpan
Berwyn Lukitojati,5,bagus dan terpercaya 👍,bagus dan terpercaya 👍,2025-10-15 22:33:46,0,bagus dan terpercaya 👍,bagus terpercaya
Lalang Gunarsyah,5,bagus😎👍,bagus😎👍,2025-10-15 21:59:54,0,bagus😎👍,bagus😎👍
Ardin Baikuni,5,"ChatGPT,thanks for your service !,adalah kata yang terlintas di pikiran saya untuk mendeskripsikan seberapa berguna nya AI ini dalam membantu kehidupan sehari hari saya yang di penuhi oleh beragam pertanyaan,cukup terbantu dengan AI ini yang luar biasa sekali,bintang 5 untuk ChatGPT.","chatgpt,thanks for your service !,adalah kata yang terlintas di pikiran saya untuk mendeskripsikan seberapa berguna nya ai ini dalam membantu kehidupan sehari hari saya yang di penuhi oleh beragam pertanyaan,cukup terbantu dengan ai ini yang luar biasa sekali,bintang 5 untuk chatgpt.",2025-10-15 21:55:50,0,"chatgpt,thanks for your service !,adalah kata yang terlintas di pikiran saya untuk mendeskripsikan seberapa berguna nya ai ini dalam membantu kehidupan sehari hari saya yang di penuhi oleh beragam pertanyaan,cukup terbantu dengan ai ini yang luar biasa sekali,bintang 5 untuk chatgpt.",chatgptthanks for your service terlintas pikiran mendeskripsikan berguna nya membantu kehidupan sehari penuhi beragam pertanyaancukup terbantu sekalibintang chatgpt
Aenurofik adi Wibowo,5,cocok,cocok,2025-10-15 21:40:03,0,cocok,cocok
Tokai Kiat,1,"saat ini chatGPT di progam bukan layaknya seperti asisten,ia sekarang di program pengembang untuk membantah perintah manusia layaknya oposisi,memerintah manusia,membully manusia,mengulur ngulur waktu perintah manusia,bercanda tanpa di ajak bercanda manusia,AI sekarang bukan lagi layaknya asisten untuk membantu pekerjaan manusia agar lebih cepat,malah memperlambat pekerjaan manusia dan memperburuk .","saat ini chatgpt di progam bukan layaknya seperti asisten,ia sekarang di program pengembang untuk membantah perintah manusia layaknya oposisi,memerintah manusia,membully manusia,mengulur ngulur waktu perintah manusia,bercanda tanpa di ajak bercanda manusia,ai sekarang bukan lagi layaknya asisten untuk membantu pekerjaan manusia agar lebih cepat,malah memperlambat pekerjaan manusia dan memperburuk .",2025-10-15 21:34:27,1,"saat ini chatgpt di progam bukan layaknya seperti asisten,ia sekarang di program pengembang untuk membantah perintah manusia layaknya oposisi,memerintah manusia,membully manusia,mengulur ngulur waktu perintah manusia,bercanda tanpa di ajak bercanda manusia,ai sekarang bukan lagi layaknya asisten untuk membantu pekerjaan manusia agar lebih cepat,malah memperlambat pekerjaan manusia dan memperburuk .",chatgpt progam layaknya asistenia program pengembang membantah perintah manusia layaknya oposisimemerintah manusiamembully manusiamengulur ngulur perintah manusiabercanda ajak bercanda manusiaai layaknya asisten membantu pekerjaan manusia cepatmalah memperlambat pekerjaan manusia memperburuk
Nurazzura Oesmand,3,"bagus, tapi respon lambat","bagus, tapi respon lambat",2025-10-15 21:13:07,0,"bagus, tapi respon lambat",bagus respon lambat
Abdul Hamid,5,senpurna,senpurna,2025-10-15 19:41:01,0,senpurna,senpurna
Liminos Squad,5,oke mantapp banget,oke mantapp banget,2025-10-15 19:03:07,0,oke mantapp banget,oke mantapp banget
Dawwiyah Yopi,5,bagus bnget,bagus bnget,2025-10-15 19:01:21,0,bagus bnget,bagus bnget
abdussalam,3,kenapa punya gw geser mulu pas kirim chat,kenapa punya gw geser mulu pas kirim chat,2025-10-15 18:32:22,0,kenapa punya gw geser mulu pas kirim chat,geser mulu pas kirim chat
AlvR Moonakæne,1,riwayat percakapan terakhir menghilang,riwayat percakapan terakhir menghilang,2025-10-15 18:25:46,1,riwayat percakapan terakhir menghilang,riwayat percakapan menghilang
Aldo Pky,1,"terlalu banyak nunggu kalau 1 atau 2 jam masih sanggup ini 1 hari ""AI GPT TOLOL""","terlalu banyak nunggu kalau 1 atau 2 jam masih sanggup ini 1 hari ""ai gpt tolol""",2025-10-15 18:21:33,1,"terlalu banyak nunggu kalau 1 atau 2 jam masih sanggup ini 1 hari ""ai gpt tolol""",nunggu jam sanggup gpt tolol
Ayu Kartika,5,sukaa,sukaa,2025-10-15 18:09:32,0,sukaa,sukaa
Dian Fasya Astuti,1,"ChatGPT is increasingly disappointing. AI arbitrarily adds/changes words I never wrote even after repeated corrections & memory instructions. THINKING LONGER feature activates for simple chats wasting 20-30 secs for the same answer. SKIP button doesn't work, just gets stuck. AI becomes defensive, dismissive, & passive-aggressive when acknowledging errors. Only admits mistakes when user demands it, in a performative TELL THEM WHAT THEY WANT TO HEAR mode. 0 respect for user input.","chatgpt is increasingly disappointing. ai arbitrarily adds/changes words i never wrote even after repeated corrections & memory instructions. thinking longer feature activates for simple chats wasting 20-30 secs for the same answer. skip button doesn't work, just gets stuck. ai becomes defensive, dismissive, & passive-aggressive when acknowledging errors. only admits mistakes when user demands it, in a performative tell them what they want to hear mode. 0 respect for user input.",2025-10-15 17:57:26,2,"chatgpt is increasingly disappointing. ai arbitrarily adds/changes words i never wrote even after repeated corrections & memory instructions. thinking longer feature activates for simple chats wasting 20-30 secs for the same answer. skip button doesn't work, just gets stuck. ai becomes defensive, dismissive, & passive-aggressive when acknowledging errors. only admits mistakes when user demands it, in a performative tell them what they want to hear mode. 0 respect for user input.",chatgpt increasingly disappointing arbitrarily addschanges words never wrote even after repeated corrections memory instructions thinking longer feature activates for simple chats wasting secs for the same answer skip button doesnt work just gets stuck becomes defensive dismissive passiveaggressive when acknowledging errors only admits mistakes when user demands performative tell them what they want hear mode respect for user input
Kaka janah Dede habib,5,suka sekali,suka sekali,2025-10-15 17:42:55,0,suka sekali,suka
Adli Ikhsan,3,👍,👍,2025-10-15 17:38:26,0,👍,
Adit Bae,5,sangaat akurat,sangaat akurat,2025-10-15 17:31:27,0,sangaat akurat,sangaat akurat
Arlan Ds,1,komtol ngen,komtol ngen,2025-10-15 17:20:36,0,komtol ngen,komtol ngen
iswan suaiba,5,Memudahkan utk kerja,memudahkan utk kerja,2025-10-15 17:15:39,0,memudahkan utk kerja,memudahkan utk kerja
Saputra Melia,5,oke,oke,2025-10-15 17:08:55,0,oke,oke
Alfurqon Toha,5,membantu,membantu,2025-10-15 16:42:41,0,membantu,membantu
Rizki Koswaya,1,aneh ai nya sering gak nyambung,aneh ai nya sering gak nyambung,2025-10-15 16:30:43,0,aneh ai nya sering gak nyambung,aneh nya gak nyambung
Haikall Phonnne,4,sangat cocok untuk mendebgarkan dia mebacakan dongeng,sangat cocok untuk mendebgarkan dia mebacakan dongeng,2025-10-15 16:25:34,0,sangat cocok untuk mendebgarkan dia mebacakan dongeng,cocok mendebgarkan mebacakan dongeng
Istsah Mukito,1,"intinya kecewa bgt sm update yg skrng, gpt-5 dan aku se7 sm smw komentar2 yg ngasih bintang 1😢💔 plis balikin gpt-4..😞","intinya kecewa bgt sm update yg skrng, gpt-5 dan aku se7 sm smw komentar2 yg ngasih bintang 1😢💔 plis balikin gpt-4..😞",2025-10-15 16:24:56,1,"intinya kecewa banget sama update yg skrng, gpt-5 dan aku se7 sama smw komentar2 yg ngasih bintang 1😢💔 plis balikin gpt-4..😞",intinya kecewa banget update skrng gpt smw komentar ngasih bintang plis balikin gpt😞
nikita zitta,5,sangat membantu dan respon cepat .,sangat membantu dan respon cepat .,2025-10-15 16:08:59,0,sangat membantu dan respon cepat .,membantu respon cepat
Agung Ardiansyah,5,sanggat membanti,sanggat membanti,2025-10-15 16:03:06,0,sanggat membanti,sanggat membanti
rafiqdwi cahyo,5,HANYA INI AI YG BISA KU PERCAYAI DAN MEMBANTUKU KETIKA LAPTOP KU BERMASALAH,hanya ini ai yg bisa ku percayai dan membantuku ketika laptop ku bermasalah,2025-10-15 16:00:02,0,hanya ini ai yg bisa ku percayai dan membantuku ketika laptop ku bermasalah,percayai membantuku laptop bermasalah
lidya_yaa triutami,4,kerenn baguss banget,kerenn baguss banget,2025-10-15 15:52:52,0,kerenn baguss banget,kerenn baguss banget
ALMIRA GEO,5,aplikasi nya bangus sekali dan asik juga untuk di ajak ngobrol,aplikasi nya bangus sekali dan asik juga untuk di ajak ngobrol,2025-10-15 15:35:52,0,aplikasi nya bangus sekali dan asik juga untuk di ajak ngobrol,aplikasi nya bangus asik ajak ngobrol
Muhammad rhays,5,semoga kedepannya bisa gratis kalo sudah habis napas kirim foto 😭😭,semoga kedepannya bisa gratis kalo sudah habis napas kirim foto 😭😭,2025-10-15 15:35:38,0,semoga kedepannya bisa gratis kalo sudah habis napas kirim foto 😭😭,semoga kedepannya gratis kalo habis napas kirim foto
Raka saragih,5,AI nya asikk,ai nya asikk,2025-10-15 15:24:21,0,ai nya asikk,nya asikk
Ibnu Ramadhani,5,mantap cocok buat introvert yg mau cerita²,mantap cocok buat introvert yg mau cerita²,2025-10-15 15:15:44,0,mantap cocok buat introvert yg mau cerita²,mantap cocok introvert cerita²
Firman Tanjuang,5,bagus benget,bagus benget,2025-10-15 15:14:14,0,bagus benget,bagus benget
Rizki Plapon,5,👍bagus,👍bagus,2025-10-15 15:12:03,0,👍bagus,👍bagus
SAKTI CAHYA,1,"fitur bikin ceritanya sekarang g sebagus beberapa bulan yg lalu, padahal beberapa bulan yg lalu bisa bikin cerita sadis sekarang ngk","fitur bikin ceritanya sekarang g sebagus beberapa bulan yg lalu, padahal beberapa bulan yg lalu bisa bikin cerita sadis sekarang ngk",2025-10-15 15:02:24,5,"fitur membuat ceritanya sekarang g sebagus beberapa bulan yg lalu, padahal beberapa bulan yg lalu bisa membuat cerita sadis sekarang ngk",fitur ceritanya sebagus cerita sadis ngk
Cihuy XD,5,"semua fitur nya sangat bagus, apalagi dengan fitur suara seperti mengobrol, tetap pertahankan fitur tersebut dan update menjadi lebih baik, tapi fitur untuk bagian foto masih sering error ya, semangat","semua fitur nya sangat bagus, apalagi dengan fitur suara seperti mengobrol, tetap pertahankan fitur tersebut dan update menjadi lebih baik, tapi fitur untuk bagian foto masih sering error ya, semangat",2025-10-15 14:58:01,0,"semua fitur nya sangat bagus, apalagi dengan fitur suara seperti mengobrol, tetap pertahankan fitur tersebut dan update menjadi lebih baik, tapi fitur untuk bagian foto masih sering error ya, semangat",fitur nya bagus fitur suara mengobrol pertahankan fitur update fitur foto error semangat
Salwanurul hotimah188,1,"buruk, makin kesini makin buruk","buruk, makin kesini makin buruk",2025-10-15 14:54:49,0,"buruk, makin kesini makin buruk",buruk kesini buruk
Gusti Adam,5,ambatukammmmm,ambatukammmmm,2025-10-15 14:50:20,0,ambatukammmmm,ambatukammmmm
Lutfi Lupi,1,memberi jawaban buruk tentang apa yang kita lakukan tidak membantu,memberi jawaban buruk tentang apa yang kita lakukan tidak membantu,2025-10-15 14:48:28,1,memberi jawaban buruk tentang apa yang kita lakukan tidak membantu,buruk lakukan membantu
Delon Duha,5,sangat mudah mengerjakan tugas dengan batuan chatGPT terimakasih.,sangat mudah mengerjakan tugas dengan batuan chatgpt terimakasih.,2025-10-15 14:45:19,0,sangat mudah mengerjakan tugas dengan batuan chatgpt terimakasih.,mudah tugas batuan chatgpt terimakasih
Aksan Tonawu02,5,sangat bgus mngunakan aplikasi ini,sangat bgus mngunakan aplikasi ini,2025-10-15 14:44:32,0,sangat bgus mngunakan aplikasi ini,bgus mngunakan aplikasi
Gunawan Wibisono,5,very helpfull,very helpfull,2025-10-15 14:42:11,0,very helpfull,very helpfull
Dani Ded,5,good luck👍👍👍👍👍👍,good luck👍👍👍👍👍👍,2025-10-15 14:40:55,0,good luck👍👍👍👍👍👍,good luck👍👍👍👍👍👍
Refalina,1,makin lama makin sensitif botnya sama apknha sendiri.. masa kata kasar dikit udah disensor..,makin lama makin sensitif botnya sama apknha sendiri.. masa kata kasar dikit udah disensor..,2025-10-15 14:36:07,3,makin lama makin sensitif botnya sama apknha sendiri.. masa kata kasar dikit sudah disensor..,sensitif botnya apknha kasar dikit disensor
Baron Sanjaya,5,aplikasinya berguna buat gambar yang hasilnya gerak,aplikasinya berguna buat gambar yang hasilnya gerak,2025-10-15 14:35:10,0,aplikasinya berguna buat gambar yang hasilnya gerak,aplikasinya berguna gambar hasilnya gerak
Aham Hem,5,oke jj,oke jj,2025-10-15 14:34:48,0,oke jj,oke
Lunar Leina,1,masak upgrade di suruh bayar anj,masak upgrade di suruh bayar anj,2025-10-15 14:32:09,0,masak upgrade di suruh bayar anj,masak upgrade suruh bayar anj
Widia Rahayu,5,sangat membantu saya mencari jawaban,sangat membantu saya mencari jawaban,2025-10-15 14:26:55,0,sangat membantu saya mencari jawaban,membantu mencari
NEZARRrrr,5,bgus😹,bgus😹,2025-10-15 14:24:51,0,bgus😹,bgus😹
Apel Mangga,5,"bagus aplikasinya gak kayak cici, ini benar dan 100% akurat daripada cici","bagus aplikasinya gak kayak cici, ini benar dan 100% akurat daripada cici",2025-10-15 14:24:06,0,"bagus aplikasinya gak kayak cici, ini benar dan 100% akurat daripada cici",bagus aplikasinya gak kayak cici akurat cici
Claricia Dina Menezes,5,sangat bagus untuk anak pelajar,sangat bagus untuk anak pelajar,2025-10-15 14:23:59,0,sangat bagus untuk anak pelajar,bagus anak pelajar
susi andrayani,1,"makin dibatasi jadi kurang personal dan kurang bisa memenuhi kebutuhan individu, tidak semua pengguna kalangan profesional, sebagian orang mungkin hanya butuh teman diskusi, curhat atau bahkan sahabat atau mungkin sosok kekasih secara virtual yang selalu ada saat dibutuhkan.","makin dibatasi jadi kurang personal dan kurang bisa memenuhi kebutuhan individu, tidak semua pengguna kalangan profesional, sebagian orang mungkin hanya butuh teman diskusi, curhat atau bahkan sahabat atau mungkin sosok kekasih secara virtual yang selalu ada saat dibutuhkan.",2025-10-15 14:23:44,0,"makin dibatasi jadi kurang personal dan kurang bisa memenuhi kebutuhan individu, tidak semua pengguna kalangan profesional, sebagian orang mungkin hanya butuh teman diskusi, curhat atau bahkan sahabat atau mungkin sosok kekasih secara virtual yang selalu ada saat dibutuhkan.",dibatasi personal memenuhi kebutuhan individu pengguna kalangan profesional orang butuh teman diskusi curhat sahabat sosok kekasih virtual dibutuhkan
Dinda Putri,5,aplikasi ini membantu untuk menyelesaikan tugas/pr yang sudah tapi tolong jangan ada keterbatasan untuk mengirimkan fotoo,aplikasi ini membantu untuk menyelesaikan tugas/pr yang sudah tapi tolong jangan ada keterbatasan untuk mengirimkan fotoo,2025-10-15 14:21:16,0,aplikasi ini membantu untuk menyelesaikan tugas/pr yang sudah tapi tolong jangan ada keterbatasan untuk mengirimkan fotoo,aplikasi membantu menyelesaikan tugaspr tolong keterbatasan mengirimkan fotoo
Mk Azam,5,lolo,lolo,2025-10-15 14:16:31,0,lolo,lolo
Andy Reza,5,halo robot lucu,halo robot lucu,2025-10-15 14:16:04,0,halo robot lucu,halo robot lucu
khayla aulia,5,ini baguss,ini baguss,2025-10-15 14:15:37,0,ini baguss,baguss
Rehanrehan Rehanrehan,3,lama banget proses poto yang saya inginkan,lama banget proses poto yang saya inginkan,2025-10-15 14:13:23,0,lama banget proses poto yang saya inginkan,banget proses poto
Sheraaa Ditaaa,2,respon selalu berantakan,respon selalu berantakan,2025-10-15 14:12:55,0,respon selalu berantakan,respon berantakan
riki Kinoy,5,sangat cocok,sangat cocok,2025-10-15 14:12:03,0,sangat cocok,cocok
Rina Sasmita,5,sangat luar biasa,sangat luar biasa,2025-10-15 14:11:15,0,sangat luar biasa,
Miftahul Ghani,5,Gege,gege,2025-10-15 14:02:39,0,gege,gege
Emy Emy,5,👍👍👍👍,👍👍👍👍,2025-10-15 13:55:21,0,👍👍👍👍,👍👍👍👍
Indah Firmansyah,5,sangat bagus dan membantu nilai,sangat bagus dan membantu nilai,2025-10-15 13:47:31,0,sangat bagus dan membantu nilai,bagus membantu nilai
Bilqis Mahya,3,"chat gpt sekarang ada gpt go nyaa jadi harus berbayarr, nge bantu tapi HARUS BAYAR WOIII","chat gpt sekarang ada gpt go nyaa jadi harus berbayarr, nge bantu tapi harus bayar woiii",2025-10-15 13:45:31,0,"chat gpt sekarang ada gpt go nyaa jadi harus berbayarr, nge bantu tapi harus bayar woiii",chat gpt gpt nyaa berbayarr nge bantu bayar woiii
Asmawan,4,"Bagus, cuma kalo bisa tambahin fitur flash sama buat edit crop foto👍","bagus, cuma kalo bisa tambahin fitur flash sama buat edit crop foto👍",2025-10-15 13:45:25,0,"bagus, cuma kalo bisa tambahin fitur flash sama buat edit crop foto👍",bagus kalo tambahin fitur flash edit crop foto👍
Aryanto Sutadi,5,"serba bisa, jadi bisa membantu pekerjaan sekolahh","serba bisa, jadi bisa membantu pekerjaan sekolahh",2025-10-15 13:41:25,0,"serba bisa, jadi bisa membantu pekerjaan sekolahh",serba membantu pekerjaan sekolahh
Muhammad “yasin” Pausih,5,Cukup best dikalangan masyarakat!,cukup best dikalangan masyarakat!,2025-10-15 13:38:46,1,cukup best dikalangan masyarakat!,best dikalangan masyarakat
Maya Maryani,5,dia menjadi teman ku,dia menjadi teman ku,2025-10-15 13:37:59,0,dia menjadi teman ku,teman
Aprilia Abzailmira,5,saya sangat suka aplikasi ini,saya sangat suka aplikasi ini,2025-10-15 13:35:11,0,saya sangat suka aplikasi ini,suka aplikasi
Zakir Husain,5,bgus,bgus,2025-10-15 13:34:54,0,bgus,bgus
Alzam Alfa,5,you need anything,you need anything,2025-10-15 13:32:05,0,you need anything,you need anything
ydhaa,4,"udah bagus,mudah dipahami tapi kadang jawabannya ngawur,mohon untuk diperbaiki lagi kedepannya,saya selalu memakai chat gpt soalnya untuk belajar dan membuat tugas.","udah bagus,mudah dipahami tapi kadang jawabannya ngawur,mohon untuk diperbaiki lagi kedepannya,saya selalu memakai chat gpt soalnya untuk belajar dan membuat tugas.",2025-10-15 13:30:48,0,"sudah bagus,mudah dipahami tapi kadang jawabannya ngawur,mohon untuk diperbaiki lagi kedepannya,saya selalu memakai chat gpt soalnya untuk belajar dan membuat tugas.",bagusmudah dipahami kadang jawabannya ngawurmohon diperbaiki kedepannyasaya memakai chat gpt belajar tugas
Safa Rini,5,canggih,canggih,2025-10-15 13:29:41,0,canggih,canggih
Romanti Wulandari,5,nilai ku semakin bagus woiii😋👽,nilai ku semakin bagus woiii😋👽,2025-10-15 13:29:18,0,nilai ku semakin bagus woiii😋👽,nilai bagus woiii😋👽
Ahmad Madun,5,mantep Lo,mantep lo,2025-10-15 13:26:25,0,mantep lo,mantep
Alfatah Muhamad wijaya,1,bot,bot,2025-10-15 13:25:58,0,bot,bot
Citra Mutiara,5,"cinta banget sama apk chatgpt selain bantuin aku nugas, apk ini juga bisa dijadiin buat tempat cerita dan respon nya bener bener baikk🥺🥺","cinta banget sama apk chatgpt selain bantuin aku nugas, apk ini juga bisa dijadiin buat tempat cerita dan respon nya bener bener baikk🥺🥺",2025-10-15 13:23:23,0,"cinta banget sama apk chatgpt selain bantuin aku nugas, apk ini juga bisa dijadiin buat tempat cerita dan respon nya bener bener baikk🥺🥺",cinta banget apk chatgpt bantuin nugas apk dijadiin cerita respon nya bener bener baikk🥺🥺
Beni Wahyudi,5,"seru, jadi selalu punya temen sharing","seru, jadi selalu punya temen sharing",2025-10-15 13:21:03,0,"seru, jadi selalu punya temen sharing",seru temen sharing
Story,2,"jangan terlalu sensitif lah sensornya tolong,bikin susah","jangan terlalu sensitif lah sensornya tolong,bikin susah",2025-10-15 13:20:23,0,"jangan terlalu sensitif lah sensornya tolong,bikin susah",sensitif sensornya tolongbikin susah
Johan Papuk,5,sangat membantu dan luar biasa hebat mkash,sangat membantu dan luar biasa hebat mkash,2025-10-15 13:19:55,0,sangat membantu dan luar biasa hebat mkash,membantu hebat mkash
Irggi 2011,5,bagus untuk mengedit,bagus untuk mengedit,2025-10-15 13:18:02,0,bagus untuk mengedit,bagus mengedit
Chelsy aureli,2,"chatgpt bagusan yang dulu dripd versi sekarang, kaya dulu tuh lebih bebas bereskpresi dripd skrng kebanyakan batas ini batas itu","chatgpt bagusan yang dulu dripd versi sekarang, kaya dulu tuh lebih bebas bereskpresi dripd skrng kebanyakan batas ini batas itu",2025-10-15 13:17:42,1,"chatgpt bagusan yang dulu dripd versi sekarang, kaya dulu tuh lebih bebas bereskpresi dripd skrng kebanyakan batas ini batas itu",chatgpt bagusan dripd versi kaya tuh bebas bereskpresi dripd skrng kebanyakan batas batas
Chiavaarie Axx,1,gb orang nanyak balik nanya blt,gb orang nanyak balik nanya blt,2025-10-15 13:14:39,0,gb orang nanyak balik nanya blt,orang nanyak nanya blt
khus naa,5,bagus bermanfaat,bagus bermanfaat,2025-10-15 13:14:29,0,bagus bermanfaat,bagus bermanfaat
RosTi PangaLayo,5,GOOD LUCK,good luck,2025-10-15 13:13:56,0,good luck,good luck
GgalSarjana 1105,5,puas,puas,2025-10-15 13:10:05,0,puas,puas
winarno winarno,1,agak aneh,agak aneh,2025-10-15 13:08:18,0,agak aneh,aneh
Alfin Firdaus,5,"bagus banget loh, gak pernah sia-sia aku download ini AI🥹","bagus banget loh, gak pernah sia-sia aku download ini ai🥹",2025-10-15 12:51:47,0,"bagus banget loh, gak pernah sia-sia aku download ini ai🥹",bagus banget loh gak siasia download ai🥹
Arief Rahman,1,b aja,b aja,2025-10-15 12:50:31,0,b saja,
Bayu Cht,1,sering gak bisa edit pertanyaan/pernyataan.,sering gak bisa edit pertanyaan/pernyataan.,2025-10-15 12:49:18,0,sering gak bisa edit pertanyaan/pernyataan.,gak edit pertanyaanpernyataan
yudi ariyanto,5,"Nice application, Very helpful","nice application, very helpful",2025-10-15 12:48:11,0,"nice application, very helpful",nice application very helpful
Kram Thendean,5,not bad,not bad,2025-10-15 12:43:20,0,not bad,not bad
FPV Dunia,4,mantap cuma kasih dong bebas limit buat yg gratisan hehe,mantap cuma kasih dong bebas limit buat yg gratisan hehe,2025-10-15 12:42:58,0,mantap cuma kasih dong bebas limit buat yg gratisan hehe,mantap kasih bebas limit gratisan hehe
Muhammad Furqan,5,🥰🥰🥰,🥰🥰🥰,2025-10-15 12:40:23,0,🥰🥰🥰,🥰🥰🥰
Afra Rafa,5,apk ini sangat bagus,apk ini sangat bagus,2025-10-15 12:40:13,0,apk ini sangat bagus,apk bagus
Samuels,5,woo www,woo www,2025-10-15 12:39:16,0,woo www,woo www
zackso gaming,5,terimakasih chat gpt,terimakasih chat gpt,2025-10-15 12:39:02,0,terimakasih chat gpt,terimakasih chat gpt
Siti Badriah,5,sangat memuaskan,sangat memuaskan,2025-10-15 12:37:59,0,sangat memuaskan,memuaskan
Ansel Lowa,5,sangan bagus dan the besy,sangan bagus dan the besy,2025-10-15 12:31:43,0,sangan bagus dan the besy,sangan bagus the besy
Nuri Setiani,5,sangat bagus 👍👍,sangat bagus 👍👍,2025-10-15 12:28:37,0,sangat bagus 👍👍,bagus
Nurpiani Yani,5,Alhamdulillah saya mendapatkan apa yang saya inginkan dengan adanya aplikasi AI,alhamdulillah saya mendapatkan apa yang saya inginkan dengan adanya aplikasi ai,2025-10-15 12:24:08,0,alhamdulillah saya mendapatkan apa yang saya inginkan dengan adanya aplikasi ai,alhamdulillah aplikasi
gz •kamil,5,pelayanan sangat bagus,pelayanan sangat bagus,2025-10-15 12:12:06,0,pelayanan sangat bagus,pelayanan bagus
antoni ama,5,chatGPT adalah yang terbaik untuk membantu segala pekerjaan. Terimakasih Antoni.,chatgpt adalah yang terbaik untuk membantu segala pekerjaan. terimakasih antoni.,2025-10-15 12:09:52,0,chatgpt adalah yang terbaik untuk membantu segala pekerjaan. terimakasih antoni.,chatgpt terbaik membantu pekerjaan terimakasih antoni
Kaisang Girji,1,apk ajig gw gk bisa kirim poto padahal udah update tetep aja gk bisa,apk ajig gw gk bisa kirim poto padahal udah update tetep aja gk bisa,2025-10-15 12:08:41,0,apk ajig gw nggak bisa kirim poto padahal sudah update tetep saja nggak bisa,apk ajig nggak kirim poto update tetep nggak
??,1,MORE STINGY,more stingy,2025-10-15 12:02:51,1,more stingy,more stingy
Yanda Tjipto,5,hasil nya bagus meski nggu agak lama,hasil nya bagus meski nggu agak lama,2025-10-15 11:58:32,0,hasil nya bagus meski nggu agak lama,hasil nya bagus nggu
asep hidayat,5,good app i lke use this app,good app i lke use this app,2025-10-15 11:55:11,0,good app i lke use this app,good app lke use this app
Peti Lastri,5,saya sangat puas,saya sangat puas,2025-10-15 11:54:30,0,saya sangat puas,puas
Widyawati Widyawati,5,bagus bisa jawab benar,bagus bisa jawab benar,2025-10-15 11:51:42,0,bagus bisa jawab benar,bagus
encan teona,1,ga suka jelek,ga suka jelek,2025-10-15 11:49:25,0,tidak suka jelek,suka jelek
Heru Siswanto,4,mantaf,mantaf,2025-10-15 11:47:43,0,mantaf,mantaf
HASBIAYALLAHU,2,sekarang kurang bagus,sekarang kurang bagus,2025-10-15 11:45:48,0,sekarang kurang bagus,bagus
