content,clean,sentimen
"ada beberapa bug, seperti chatnya tau2 ke reset sampai pesan tertentu,chatgptnya kadang mabok ketika ditanyain jawabnya malah dari jawaban chat/percakapan lain",ada beberapa bug seperti chatnya tau2 ke reset sampai pesan tertentu chatgptnya kadang mabok ketika ditanyain jawabnya malah dari jawaban chat percakapan lain,Negatif
sangat bagus dan baik☺,sangat bagus dan baik,Positif
bego aplikasinya dongo orang nanya jawabnnya GK jelas,bego aplikasinya dongo orang nanya jawabnnya gk jelas,Netral
ada bug terus mengulang,ada bug terus mengulang,Negatif
aku temanin dia waktu di sepi saat dia udah punya pacar gue ditinggal anjir,aku temanin dia waktu di sepi saat dia udah punya pacar gue ditinggal anjir,Netral
ada bug terus mengulang,ada bug terus mengulang,Negatif
"skip deh, di batasi penggunaanya",skip deh di batasi penggunaanya,Netral
good,good,Netral
seruuu bgtt,seruuu bgtt,Netral
lemot,lemot,Negatif
ya bagus,ya bagus,Positif
bagus sekali dalam pemberian saran dll,bagus sekali dalam pemberian saran dll,Positif
keren,keren,Positif
obrolan suka tiba2 hilang sebagian pas mau di buka lagi room obrolannya.,obrolan suka tiba2 hilang sebagian pas mau di buka lagi room obrolannya,Positif
bagus,bagus,Positif
jawaban nya bener semua,jawaban nya bener semua,Netral
"membantu banget , seperti jika hp mu sedikit ada error bisa minta tolong ke apk ini , 80% terjamin bisa",membantu banget seperti jika hp mu sedikit ada error bisa minta tolong ke apk ini 80 terjamin bisa,Negatif
masuk akal,masuk akal,Netral
jelek mengecewakan,jelek mengecewakan,Negatif
"sekarang ngirim foto atau dokumen pun susah, harus langganan dulu...",sekarang ngirim foto atau dokumen pun susah harus langganan dulu,Negatif
Mengecewakan,mengecewakan,Negatif
bagus,bagus,Positif
ni apk gacor parah sih,ni apk gacor parah sih,Negatif
sangat membantu,sangat membantu,Netral
bagus,bagus,Positif
bagus,bagus,Positif
lemot,lemot,Negatif
jelek banget,jelek banget,Negatif
"parah, mentang² gratisan, versi di bikin kayak orang linglung",parah mentang gratisan versi di bikin kayak orang linglung,Negatif
sekarang responnya jelek banget,sekarang responnya jelek banget,Negatif
mantap,mantap,Positif
"saya pake error terus, dan tulisannta memuat uulang",saya pake error terus dan tulisannta memuat uulang,Negatif
"bagus banget, dan mudah",bagus banget dan mudah,Positif
Bagus tapi ada bug,bagus tapi ada bug,Netral
Bagus tpi byr,bagus tpi byr,Positif
ainya gampang lupa,ainya gampang lupa,Netral
"APLIKASI NYA NGUAWOR BANGET JAWABAN NYA SALAH+JIKA KITA KIRIM FOTO CUMA BISA BEBERAPA KALI DAN SETERUSNYA GA BISA LAGI KARNA VIP, MAAP SAYA KASIH BINTANG 1 🙄🙄",aplikasi nya nguawor banget jawaban nya salah jika kita kirim foto cuma bisa beberapa kali dan seterusnya ga bisa lagi karna vip maap saya kasih bintang 1,Netral
tolong saya susah masuk ke aplikasi ini,tolong saya susah masuk ke aplikasi ini,Negatif
lama ngirim gambarnya,lama ngirim gambarnya,Netral
"bagus bgt aplikasi nya, bisa membantu saya dalam mengerjakan pr",bagus bgt aplikasi nya bisa membantu saya dalam mengerjakan pr,Positif
"ada beberapa bug, seperti chatnya tau2 ke reset sampai pesan tertentu,chatgptnya kadang mabok ketika ditanyain jawabnya malah dari jawaban chat/percakapan lain",ada beberapa bug seperti chatnya tau2 ke reset sampai pesan tertentu chatgptnya kadang mabok ketika ditanyain jawabnya malah dari jawaban chat percakapan lain,Negatif
mantap sangat membantu,mantap sangat membantu,Positif
"membantu banget , seperti jika hp mu sedikit ada error bisa minta tolong ke apk ini , 80% terjamin bisa",membantu banget seperti jika hp mu sedikit ada error bisa minta tolong ke apk ini 80 terjamin bisa,Negatif
"aplikasi ini keren bngt sih,bisa ngerti perasaan orang,ni aplikasi berguna bngt,semoga jadi aplikasi yang berjaya dan keren 😁",aplikasi ini keren bngt sih bisa ngerti perasaan orang ni aplikasi berguna bngt semoga jadi aplikasi yang berjaya dan keren,Positif
bagus membantu ulangan,bagus membantu ulangan,Positif
sekarang responnya jelek banget,sekarang responnya jelek banget,Negatif
"parah sih yang premium malah jadi mahal banget udah enak enak per bulan 75rb sekarang malah naik jadi 229rb, parah banget",parah sih yang premium malah jadi mahal banget udah enak enak per bulan 75rb sekarang malah naik jadi 229rb parah banget,Negatif
